date,R,M,CRM,CPI,IP,PC,OP,Q,Interv
1982-01-01,12.89,13.9657227811832,NA,4.0697463563117,2.73362924941219,3.880779449811219,3.8233379654662576,-4.925730787005811,NA
1982-02-01,14.83,13.9564367163612,NA,4.06016154892713,3.0336107611192,3.873776145600097,3.7583429520527947,-4.928484811068578,NA
1982-03-01,11.72,13.9567954470406,NA,4.06045664265839,2.89508485649514,3.8470950713654406,3.7059494515314158,-4.944566714126551,NA
1982-04-01,11.87,13.9773205450358,NA,4.06194935821911,2.87945332941567,3.8383908542504312,3.7436520100899684,-4.934042185264735,NA
1982-05-01,11.99,13.9946995446474,NA,4.06768782650632,2.88135367279914,3.8339966671947714,3.781855037416563,-4.909414346738851,NA
1982-06-01,12.9,14.0228382665091,NA,4.0678351161336,2.85956128617953,3.7853084401566077,3.775088674096695,-4.925585628056508,NA
1982-07-01,9.57,14.0445260102093,NA,4.07102782799283,2.86732214626603,3.7732894464006725,3.779360510045679,-4.930870325627393,NA
1982-08-01,11.1,14.0620656903992,NA,4.09861958911893,2.86235000825181,3.753786436801672,3.768880565907468,-4.956460659649984,NA
1982-09-01,8.9,14.0817306823391,NA,4.08221176206492,2.90866404635967,3.747942214411194,3.7953596383039736,-4.9454209891126535,NA
1982-10-01,8.79,14.0985510694998,NA,4.07512039561171,2.90307911764839,3.725566651464238,3.804112139647654,-4.943640425271977,NA
1982-11-01,8.46,14.1169181167208,NA,4.07553799340295,2.89780079672442,3.742958365261563,3.7822082877560073,-4.92529524692924,NA
1982-12-01,8.38,14.1403659360762,NA,4.08855822188783,2.93277404663735,3.754384673393924,3.736645411168119,-4.90852873782488,NA
1983-01-01,7.09,14.1567007056895,NA,4.08695840880773,2.9295882213037,3.76759175635289,3.7081841633658854,-4.894176381402003,NA
1983-02-01,8.16,14.1759712652386,NA,4.09076345278838,2.95040481471683,3.796706990465507,3.6669391374234444,-4.911698546236233,NA
1983-03-01,6.66,14.197243890292,NA,4.0930551155647,2.94489921327907,3.817305059262282,3.6422715407554143,-4.914711592792766,NA
1983-04-01,6.71,14.2170828437324,NA,4.09661534786051,2.96633395072097,3.853522753587098,3.6783865264552156,-4.916764078486185,NA
1983-05-01,6.72,14.2404746431619,NA,4.08963581132356,2.98140443065977,3.882746544564237,3.6693352637767993,-4.901787222497451,NA
1983-06-01,7.14,14.2620243509437,NA,4.09525735239985,3.01248988575217,3.878067261200841,3.687714226748355,-4.91705694713669,NA
1983-07-01,7.39,14.2811910426295,NA,4.08743097866123,3.03058625440136,3.8950097610177923,3.689094043988887,-4.912948960138995,NA
1983-08-01,7.53,14.2954362083689,NA,4.08493138429009,3.04618721535637,3.9619492567576398,3.6960237302374495,-4.918958505524352,NA
1983-09-01,6.12,14.3129713369765,NA,4.07977689799152,3.06064554741245,3.9726029926967716,3.6833736700363886,-4.913316431572226,NA
1983-10-01,6.39,14.332050891765,NA,4.08007937518915,3.06928738452426,3.967472073815795,3.6681051062325474,-4.911919321157098,NA
1983-11-01,6,14.350147979661,NA,4.08084912271937,3.07750526883497,3.9534950264956077,3.6530672289076236,-4.926673806915383,NA
1983-12-01,6.42,14.371808545623,NA,4.07615444147533,3.06511671709625,3.95705198768043,3.6401740518525174,-4.896495613354671,NA
1984-01-01,8.1,14.4166152855117,NA,4.07484671882188,3.11249357689987,3.972467424285355,3.644197149285606,-4.8816649127992955,NA
1984-02-01,8.45,14.4016711728526,NA,4.0790051926307,3.07902265672945,3.9594213106798013,3.6500233948958347,-4.876570425865589,NA
1984-03-01,7.23,14.418312929351,NA,4.08073763087919,3.11527566635553,3.9789183091570743,3.6578100846716075,-4.86182587983475,NA
1984-04-01,6.51,14.4327443782467,NA,4.0819097014292,3.09932327518021,3.979152943139228,3.6579017834359315,-4.871909481419947,NA
1984-05-01,5.05,14.4548198893469,NA,4.0942698851008,3.13096099886081,3.990565497828374,3.6557845367476003,-4.898585790287632,NA
1984-06-01,5.9,14.4659121224402,NA,4.09184436305641,3.13593393241164,3.9505676947069146,3.648476052463041,-4.898436636733773,NA
1984-07-01,6.78,14.4822867665351,NA,4.09134599802242,3.15031076699256,3.879548588245538,3.6177106547250966,-4.925803358579558,NA
1984-08-01,5.47,14.5014693561278,NA,4.09315263563511,3.14586706578985,3.8658878703644675,3.62331180245889,-4.940927881671436,NA
1984-09-01,6.7,14.5164636816945,NA,4.08750373064701,3.12256256849983,3.85041263904263,3.6261000139224135,-4.9503897670809724,NA
1984-10-01,5.04,14.5293124987858,NA,4.08331551227212,3.10337930376317,3.8336206007600797,3.612109683693875,-4.946629964120343,NA
1984-11-01,6.05,14.5406021359823,NA,4.08755858573843,3.13361698952187,3.8303897108598703,3.6067867559866174,-4.926021041706347,NA
1984-12-01,6.61,14.5520983894228,NA,4.09140198833916,3.12625817487812,3.8017351477687766,3.5820455562060083,-4.932673752626544,NA
1985-01-01,6.59,14.5625337436776,NA,4.08964607226131,3.13484298302724,3.79849639038083,3.577642742138541,-4.948972633704149,NA
1985-02-01,8.35,14.5883703012278,NA,4.09300339551737,3.17567667086854,3.798019541262148,3.60861635170809,-4.9764578422946695,NA
1985-03-01,6.37,14.6061761623142,NA,4.09410557617943,3.13723274636877,3.7993217424400276,3.612665208686236,-4.963823172310451,NA
1985-04-01,5.42,14.6185735329678,NA,4.08835366416407,3.15100378076155,3.8093256985371817,3.611927384463357,-4.922750808785736,NA
1985-05-01,6.03,14.630372346395,NA,4.08515131193362,3.13376786084773,3.7876241064771565,3.574114411381548,-4.913830664825064,NA
