date,R,M,CRM,CPI,IP,PC,OP,Q,Interv
1986-09-01,3.5,2965079,NA,61.32,26.84,40.0964099959877,21.0124473331592,0.008384338056510439,NA
1986-10-01,3.73,3037886,NA,61.19,28.45,39.8644813889438,20.8043826845809,0.008349336227769892,NA
1986-11-01,3.37,3079058,NA,60.34,27.76,39.7391715426161,21.3916871566309,0.00829393713195654,NA
1986-12-01,4,3191344,NA,60.07,30.22,39.4803193851538,22.6276384949234,0.008276775368316504,NA
1987-01-01,3.78,3298227,98289,59.91,27.88,40.3265826010715,24.5540150305458,0.008411843876177659,2509.1422342749006
1987-02-01,3.57,3287432,95552,59.79,25.87,40.9580013949935,23.6671300456997,0.00844737286703835,2451.1158845302098
1987-03-01,3.27,3335498,93140,59.32,29.99,41.2047072786837,24.2021123590733,0.008511362669163334,2375.788934985553
1987-04-01,3.65,3391830,96412,59.53,30.22,42.0582426525499,24.0985114093291,0.00850918992511913,2438.2740877967544
1987-05-01,3.73,3452429,71812,59.54,30.36,43.474431481179,24.5811715640264,0.008240626287597858,1805.0176729809152
1987-06-01,3.45,3513594,43939,59.58,30.15,43.3904573756874,24.9199936958297,0.007858546168958742,1053.9436665687704
1987-07-01,5.28,3517531,10943,60.27,30.92,43.9150280190076,26.0019291421114,0.007628928898382666,-5.129039333255946
1987-08-01,4.03,3582000,65390,60.76,30.79,44.8357341170117,25.1067158217063,0.0074205995844464235,1529.2756219176745
1987-09-01,4.21,3624942,56837,60.98,29.43,46.5552054511353,24.4445042430907,0.007519362358072035,1317.5419262445832
1987-10-01,3.64,3701699,165611,60.43,29.94,48.1002802087913,24.7607414270049,0.007587829122088171,4654.602235135367
1987-11-01,3.57,3771552,124224,60.6,29.27,49.1810811555538,24.072622308436,0.0077507363199503946,3573.482411903273
1987-12-01,4.56,3925486,51294,61.23,31.83,51.0652945471796,23.0504332621738,0.0076370856881014205,1466.8325450742473
1988-01-01,5.11,3952444,-15389,60.24,30.97,52.1295600235964,23.0936902741912,0.007685804319422027,-930.3994291694783
1988-02-01,5.52,3993401,42460,60,25.93,50.9951920408192,22.2769122783346,0.007676364473785215,882.5167123031481
1988-03-01,5.37,4029196,-40986,59.66,30.91,53.3073842660325,21.046610670028,0.007842522155125087,-2090.9305328223095
1988-04-01,5.23,4091745,2072,59.74,30.6,53.8530657977696,22.7038318553594,0.007939658594680429,103.91558060134764
1988-05-01,4.37,4131624,9942,60.41,30.83,56.7278442618605,22.344776920989,0.007854842510407667,58.797332833976895
1988-06-01,5.65,4249643,-52538,60.78,30.97,62.6442761318077,21.5539043637512,0.0077303648732220155,-2966.858884092814
1988-07-01,5.41,4351137,26704,60.78,31.66,57.8502682090245,20.6836760500233,0.00755629439322956,486.98041334734967
1988-08-01,3.97,4388407,-9930,61.64,31.98,56.3043214121398,20.8334902631543,0.00742611020347542,-686.0735507100069
1988-09-01,4.19,4415647,-34108,61.84,30.99,55.5883628132427,19.2113774718112,0.00749400479616307,-1697.9066009886546
1988-10-01,3.89,4501771,31421,62.28,31.07,55.9970566417084,18.4267846589958,0.00761266747868453,735.8561458298027
1988-11-01,3.51,4547723,77964,61.96,31.24,57.0569850374408,18.9294469829412,0.007656381594058647,2440.7947508430507
1988-12-01,4.21,4722373,-3764,61.91,33.67,58.7659688584648,21.3877828458189,0.0076869859328157425,-554.460940976317
1989-01-01,3.8,4804999,52047,61.91,32.43,58.118291717734,23.0628568007825,0.007475517679599312,1394.0751899518073
1989-02-01,4.42,4857217,23189,62.45,25.3,56.9772423925239,22.828631072866,0.007370283018867924,385.99183951686143
1989-03-01,3.64,4932388,-3822,62.6,33.86,57.7017557952658,24.3419663218373,0.00728279076542131,-593.4713873983844
1989-04-01,10.85,5061285,25449,63.16,32.46,57.2473188041146,25.6425805450522,0.007099247479767144,439.33881514694673
1989-05-01,11.21,5046749,-2795,63.63,33.4,57.0737300766198,24.5465027524327,0.0066019673862811115,-597.5063507523982
1989-06-01,7.95,5164601,-21646,63.46,32.76,55.2832857475833,24.1886718041892,0.006576783952647155,-1319.4720276722974
1989-07-01,7.23,5136105,11744,63.16,32.67,53.8595429104239,24.145854053733,0.006686279753944905,-105.07623657111111
1989-08-01,8.75,5215796,-35230,63.69,33.65,52.9467234617087,23.2292318580997,0.00656943896991197,1046.7875866109912
1989-09-01,7.06,5256225,-13173,65.36,31.58,52.7314855193782,24.001968117373,0.006374705169885892,-1065.5649221645917
1989-10-01,8.59,5340053,-14025,65.98,31.34,52.8997823131637,24.8960053651171,0.00644620640752917,-90.45778570010941
1989-11-01,5.49,5426101,-2138,64.28,32.11,51.5598648246015,25.2349233238524,0.006681812107443539,-649.6753086657486
1989-12-01,5.66,5589437,-33983,63.85,32.78,50.5232138159385,26.7317935555695,0.00683480281593876,-1797.421847638187
1990-01-01,10.68,5675231,42688,64.29,28.29,50.2447494159104,28.3980611993245,0.006859181013786954,1183.0733746958356
1990-02-01,13.03,5704155,-39940,64.2,28.84,50.166790177788,26.9546412854787,0.0069151510960514485,-1981.51190214474
1990-03-01,13.67,5672377,-78845,64.68,33.33,51.809232821882,25.0167046633936,0.006820351930159596,-3446.412277262545
1990-04-01,11.62,5678852,-18623,65.32,31.72,51.9306239007315,23.1549470474669,0.006747183051076176,-1198.6539680430496
1990-05-01,9.16,5661498,-36894,66,32.42,51.684717822271,23.2821033918425,0.006949270326615705,-575.3990326526389
1990-06-01,11.17,5699321,-135017,65.75,32.03,50.7701291172373,21.873316633292,0.0070911927386186355,-5319.566048693072
1990-07-01,11.68,5709142,37712,66.19,32.69,51.1321510618203,23.8277661860973,0.007124029351000926,985.6056714678103
1990-08-01,10.04,5777952,24296,67.29,33.15,52.1672401105793,33.641703541385,0.007196315486470926,470.80238620651903
1990-09-01,6.67,5903434,5503,69.62,31.83,53.2092481604251,40.4871250072456,0.0071362306429743816,-243.93139871533762
1990-10-01,5.41,5931328,29020,68.12,32.17,52.1851554149689,42.740074827118,0.007544322897019992,591.0605297591061
1990-11-01,5.87,6007270,35569,66.81,33.01,50.138785215905,39.6206644788307,0.007734550235903782,816.6790782083667
1990-12-01,6.27,6201891,25197,66.76,33.79,49.6033622392118,34.3374201161007,0.007614406457016675,428.87263479279346
1991-01-01,6.28,6251143,56289,67.5,32.64,49.8586971105825,30.3065376174588,0.007583801001061732,1599.8574651650902
1991-02-01,8.02,6397382,35698,67.9,26.47,50.1555303512426,25.1243357158499,0.00762660158633313,812.2869060827142
1991-03-01,7.24,6487808,12234,67.57,33.51,50.4073986088162,24.9388159993549,0.00747328301322771,-73.67326079770237
1991-04-01,8.09,6506011,25859,68.01,32.86,49.7901487947402,25.4254133636465,0.007372456502506636,431.5946805174678
1991-05-01,8.43,6524256,-10152,68.24,34.86,48.2244031860874,25.7225312941972,0.007329766180458843,-866.6485168629251
1991-06-01,8.29,6766086,-18694,68.4,33.82,48.1880225362062,24.5925430499656,0.007187522461007691,-1192.1137063711158
1991-07-01,7.87,6800571,32507,68.87,35.02,47.9839487871082,25.6257513760269,0.007129108148570614,662.3176876233191
1991-08-01,8.39,6866290,49037,69.03,36.11,48.3242650441125,26.1112982619648,0.0071275837491090515,3247.784135090002
1991-09-01,7.04,6960605,-14348,69.13,35.57,48.5182758460509,27.2558971653723,0.007174630506528914,-1081.7283191575134
1991-10-01,4.91,7074729,25305,69.81,36.74,48.3336030612804,28.821665557336,0.00715922107674685,354.3496350633005
1991-11-01,6.83,7160864,25743,70.02,36.7,48.0585867040823,28.119891616342,0.0071275837491090515,371.3219528092799
