"mp","md","cpi","y","q","pcm"
0.0000742031003276379,0.000153932743931726,0.00243617977417316,0.00174876177500881,0.00154641072135084,0.0238410734652857
0.000576877259019657,0.000385343563755303,0.00409726348225763,0.00316672580803581,0.00403328931578422,0.0314283898759809
-0.000422410728993568,0.000112594866807282,0.00295045773580012,0.00291757965126948,0.00571542640967938,0.0338544685914079
-0.00164480332151723,0.0000208663885786616,0.00125043062016846,0.00237298169074717,0.00684895939149762,0.0341583504406834
-0.00273794246739154,-0.0000142635877036601,-0.000611426187024936,0.00175240982544774,0.00775868492090113,0.033686279496122
-0.00372342894955049,-0.000045680698593728,-0.00239459416673684,0.00117892187569378,0.00858962475917264,0.0329248210233245
-0.0046327601194977,-0.000091942945815523,-0.00403043164471976,0.000669215396797819,0.00938008471528117,0.0320630402447214
-0.00547101081383766,-0.00015466177367177,-0.00550824343222758,0.000228595815583684,0.0101410417254228,0.0311682550477596
-0.00623514100719648,-0.000231517550262219,-0.00683579265922323,-0.000150239332857289,0.0108762688318324,0.0302673987707857
-0.00692405599622988,-0.000320196295297682,-0.00802611975526044,-0.000474366018629852,0.011587264776888,0.0293710075487008
-0.00753885229531352,-0.000418119259974143,-0.00909219112303372,-0.000752235029048903,0.0122737961834552,0.028484168583669
-0.00808222701549003,-0.000522861274277973,-0.0100461195398652,-0.000991095050587913,0.0129348155179985,0.0276093863118419
-0.00855774756461389,-0.000632095423207224,-0.0108986086338773,-0.00119762755371802,0.0135688397097006,0.0267482623868546
-0.00896953828517323,-0.000743738775359783,-0.0116591062330417,-0.00137746707107454,0.0141742904882251,0.0259018623955882
-0.00932198813155265,-0.000855936970685425,-0.0123358735382876,-0.0015354682337816,0.0147496305734613,0.0250710134012684
-0.00961957256051637,-0.000967086957581426,-0.0129361732098757,-0.00167567243788005,0.0152934734823002,0.0242563573785647
-0.00986670896724047,-0.00107581835652439,-0.0134664012242052,-0.0018014483647306,0.0158046334336397,0.0234584175273526
-0.0100676680547733,-0.00118098393683253,-0.0139322248273513,-0.0019155504490552,0.0162821588802557,0.0226776139705628
-0.0102265134287072,-0.00128163938620921,-0.0143386897887825,-0.0020202141084239,0.0167253427264403,0.0219142852059701
-0.0103470686244268,-0.00137702533170781,-0.0146903163142664,-0.0021172243756162,0.017133722428952,0.0211686970661258
-0.0104329003786347,-0.0014665471737188,-0.0149911769329062,-0.00220798762600658,0.0175070703739489,0.0204410525306711
-0.010487314938662,-0.00154975630041549,-0.015244962965728,-0.0022935909255388,0.0178453794026916,0.019731497784875
-0.0105133624394273,-0.00162633178536988,-0.0154550393497335,-0.00237485673549676,0.0181488447393521,0.0190401279320088
-0.0105138469537645,-0.00169606355740982,-0.0156244906452535,-0.00245238955186435,0.0184178443572671,0.0183669913355995
-0.0104913398343333,-0.00175883685179003,-0.0157561591628756,-0.00252661685752305,0.0186529186713976,0.0177120935455123
-0.0104481949459346,-0.00181461817204466,-0.0158526767462036,-0.00259782400210113,0.0188547504512581,0.017075400638064
-0.0103865646441843,-0.00186344266666265,-0.0159164911439069,-0.00266618405592702,0.0190241454231789,0.0164568422700023
-0.010308415787605,-0.00190540290923622,-0.015949887941436,-0.00273178297594346,0.0191620139297064,0.0158563144490499
-0.0102155452709969,-0.00194063897887621,-0.0159550087780132,-0.00279464074737663,0.019269353834192,0.0152736821265754
-0.0101095947737573,-0.00196932975394046,-0.015933866503209,-0.00285472895495983,0.0193472347811105,0.0147087816338566
-0.0099920645366471,-0.00199168530892258,-0.0158883577985189,-0.00291198528292463,0.0193967838418359,0.0141614230015203
-0.0098643260800615,-0.00200794031093404,-0.015820273714142,-0.00296632535537649,0.0194191725322728,0.0136313921755879
-0.00972763383911348,-0.00201834831085857,-0.0157313084906809,-0.00301765230585711,0.0194156051534927,0.0131184531444391
-0.00958313573634447,-0.00202317683139603,-0.0156230669760226,-0.00306586441109693,0.0193873083870487,0.0126223499821063
-0.00943188274063021,-0.00202270315992152,-0.0154970708934464,-0.00311086108874086,0.0193355220638159,0.0121428088120124
-0.00927483747838956,-0.00201721076206184,-0.0153547641735485,-0.00315254751859049,0.0192614910195321,0.0116795396921819
-0.00911288197210445,-0.00200698623940996,-0.0151975175251299,-0.00319083811399539,0.0191664579484226,0.0112322384222014
-0.00894682458465131,-0.00199231676260661,-0.015026632389378,-0.00322565903851357,0.0190516571677215,0.0108005882713193
-0.00877740624741741,-0.00197348791833657,-0.0148433443957058,-0.00325694993577729,0.0189183092091986,0.0103842616269756
-0.00860530604716295,-0.00195078191574358,-0.0146488264161002,-0.0032846650159924,0.018767616158382,0.0099829215630407
